policy,policy_name,cluster_name,cluster_display_name,sector_slug,workload_name,completed,completion_slot,total_work,total_energy_kwh,total_carbon_grams,total_day_ahead_cost,total_real_time_cost,active_slots,max_scale_used,tie_threshold_ratio,tie_break_used_count,cost_budget_ratio,cost_penalty_beta,urgency_gamma,lambda_carbon,sweep_group,carbon_savings_vs_base_pct,day_ahead_cost_savings_vs_base_pct,real_time_cost_savings_vs_base_pct
carbonscaler_base,carbonscaler,cluster4,"Texas, US",texas,nbody100k,True,166,24.090000000000007,5.914068900000001,997.2590538000001,348.12242291841,448.4153680599301,18,2,,0,,,,,,0.0,0.0,0.0
price_only,price_only,cluster4,"Texas, US",texas,nbody100k,True,157,24.44000000000001,6.118253400000001,1983.8168196000004,111.84698649345,116.80126105521002,14,2,,0,,,,,,-98.92692997278661,67.87136388520892,73.95244022064836
optionA_tie_0.01,carbonscaler_price_tiebreak,cluster4,"Texas, US",texas,nbody100k,True,166,24.090000000000007,5.914068900000001,997.2590538,344.07625799022003,452.0241116306701,18,2,0.01,14,,,,,,1.1399930367983992e-14,1.1622821920719175,-0.8047769607793064
optionA_tie_0.03,carbonscaler_price_tiebreak,cluster4,"Texas, US",texas,nbody100k,True,166,24.090000000000007,5.914068900000001,998.4514713000001,336.23224949502,451.0203584275201,18,2,0.03,23,,,,,,-0.11956948352149753,3.4155149569830168,-0.5809324463745525
optionA_tie_0.05,carbonscaler_price_tiebreak,cluster4,"Texas, US",texas,nbody100k,True,166,24.090000000000007,5.914068900000001,999.6164496000001,331.21848722274,438.0890038308601,18,2,0.05,23,,,,,,-0.23638750543475515,4.855744583747135,2.302856896664132
optionA_tie_0.10,carbonscaler_price_tiebreak,cluster4,"Texas, US",texas,nbody100k,True,166,24.830000000000005,6.138832800000001,1046.192205,311.02941893586,375.4822341455401,17,2,0.1,25,,,,,,-4.906764296954031,10.655160811414763,16.26463745654734
optionA_tie_0.20,carbonscaler_price_tiebreak,cluster4,"Texas, US",texas,nbody100k,True,166,24.960000000000004,6.145692600000001,1052.6187276,335.99851226622,347.99752427541006,18,2,0.2,26,,,,,,-5.551182873602906,3.4826572073558952,22.393934494033513
optionB_budget0.80_beta0.01_gamma0.50,carbonscaler_budget,cluster4,"Texas, US",texas,nbody100k,False,,21.740000000000002,5.232917400000001,904.3561053000002,276.17467769340004,340.64279047797,20,2,,0,0.8,0.01,0.5,,optionB_budget_sweep,9.3158290361966,20.667368858877687,24.034095452222868
optionB_budget0.85_beta0.01_gamma0.50,carbonscaler_budget,cluster4,"Texas, US",texas,nbody100k,False,,23.740000000000002,5.709884400000001,1000.4649558000002,294.8720225769,354.36341398677,22,2,,0,0.85,0.01,0.5,,optionB_budget_sweep,-0.3214713356358351,15.296458037691632,20.974293204997863
optionB_budget0.90_beta0.01_gamma0.50,carbonscaler_budget,cluster4,"Texas, US",texas,nbody100k,True,166,24.740000000000002,5.948367900000001,1045.5383373000002,312.6757697859,370.95421026642003,23,2,,0,0.9,0.01,0.5,,optionB_budget_sweep,-4.841197812748313,10.182237856254861,17.274420840803444
