policy,policy_name,cluster_name,cluster_display_name,sector_slug,workload_name,completed,completion_slot,total_work,total_energy_kwh,total_carbon_grams,total_day_ahead_cost,total_real_time_cost,active_slots,max_scale_used,tie_threshold_ratio,tie_break_used_count,cost_budget_ratio,cost_penalty_beta,urgency_gamma,lambda_carbon,sweep_group,carbon_savings_vs_base_pct,day_ahead_cost_savings_vs_base_pct,real_time_cost_savings_vs_base_pct
carbonscaler_base,carbonscaler,cluster4,"Texas, US",texas,nbody100k,True,162,24.090000000000003,5.914068900000001,752.1177516000001,437.1152558413501,460.09671892380015,18,2,,0,,,,,,0.0,0.0,0.0
price_only,price_only,cluster4,"Texas, US",texas,nbody100k,True,145,24.44000000000001,6.118253400000001,1947.7097739,94.20424643724,92.34226603149003,14,2,,0,,,,,,-158.9634096199146,78.44864822758986,79.92981426872912
optionA_tie_0.01,carbonscaler_price_tiebreak,cluster4,"Texas, US",texas,nbody100k,True,162,24.090000000000003,5.914068900000001,752.1177516000001,437.1152558413501,460.09671892380015,18,2,0.01,16,,,,,,0.0,0.0,0.0
optionA_tie_0.03,carbonscaler_price_tiebreak,cluster4,"Texas, US",texas,nbody100k,True,162,24.090000000000003,5.914068900000001,752.1177516000001,437.1152558413501,460.09671892380015,18,2,0.03,22,,,,,,0.0,0.0,0.0
optionA_tie_0.05,carbonscaler_price_tiebreak,cluster4,"Texas, US",texas,nbody100k,True,162,24.220000000000002,5.920928700000001,758.0176791000002,435.3977927047801,460.54199728416006,19,2,0.05,23,,,,,,-0.7844419956115954,0.39290853238793544,-0.09677929488422476
optionA_tie_0.10,carbonscaler_price_tiebreak,cluster4,"Texas, US",texas,nbody100k,True,162,24.090000000000003,5.914068900000001,759.2980863000003,391.04113268475004,412.47437663166,18,2,0.1,24,,,,,,-0.9546822535068743,10.540497624114627,10.350506824637286
optionA_tie_0.20,carbonscaler_price_tiebreak,cluster4,"Texas, US",texas,nbody100k,True,162,24.830000000000005,6.138832800000001,786.7398615000002,407.61298134876006,421.28312166906005,17,2,0.2,26,,,,,,-4.603283172927047,6.7493124749912266,8.435964800081154
optionB_budget0.80_beta0.01_gamma0.50,carbonscaler_budget,cluster4,"Texas, US",texas,nbody100k,True,162,24.0,5.723604000000001,791.2882529999999,346.5827762163001,374.19089013885,24,1,,0,0.8,0.01,0.5,,optionB_budget_sweep,-5.2080277744636865,20.71135207825109,18.671254380142102
optionB_budget0.85_beta0.01_gamma0.50,carbonscaler_budget,cluster4,"Texas, US",texas,nbody100k,True,162,24.87,5.955227700000001,804.3108396,368.6582230863301,401.04214724028003,24,2,,0,0.85,0.01,0.5,,optionB_budget_sweep,-6.939483596679926,15.661094377329698,12.835251644839607
optionB_budget0.90_beta0.01_gamma0.50,carbonscaler_budget,cluster4,"Texas, US",texas,nbody100k,True,163,24.87,5.955227700000001,802.4029716000001,373.11221247738007,402.38166136308,24,2,,0,0.9,0.01,0.5,,optionB_budget_sweep,-6.685817465819268,14.642143578534762,12.544114136636288
optionB_budget1.00_beta0.01_gamma0.50,carbonscaler_budget,cluster4,"Texas, US",texas,nbody100k,True,163,24.87,5.955227700000001,802.4029716000001,373.11221247738007,402.38166136308,24,2,,0,1.0,0.01,0.5,,optionB_budget_sweep,-6.685817465819268,14.642143578534762,12.544114136636288
