timestamp,carbon_intensity
2026-03-09T00:00:00.000Z,372.0
2026-03-09T01:00:00.000Z,356.0
2026-03-09T02:00:00.000Z,345.0
2026-03-09T03:00:00.000Z,326.0
2026-03-09T04:00:00.000Z,297.0
2026-03-09T05:00:00.000Z,279.0
2026-03-09T06:00:00.000Z,269.0
2026-03-09T07:00:00.000Z,270.0
2026-03-09T08:00:00.000Z,270.0
2026-03-09T09:00:00.000Z,271.0
2026-03-09T10:00:00.000Z,292.0
2026-03-09T11:00:00.000Z,314.0
2026-03-09T12:00:00.000Z,331.0
2026-03-09T13:00:00.000Z,339.0
2026-03-09T14:00:00.000Z,326.0
2026-03-09T15:00:00.000Z,272.0
2026-03-09T16:00:00.000Z,239.0
2026-03-09T17:00:00.000Z,227.0
2026-03-09T18:00:00.000Z,221.0
2026-03-09T19:00:00.000Z,230.0
2026-03-09T20:00:00.000Z,254.0
2026-03-09T21:00:00.000Z,270.0
2026-03-09T22:00:00.000Z,296.0
2026-03-09T23:00:00.000Z,348.0
2026-03-10T00:00:00.000Z,372.0
2026-03-10T01:00:00.000Z,360.0
2026-03-10T02:00:00.000Z,333.0
2026-03-10T03:00:00.000Z,296.0
2026-03-10T04:00:00.000Z,268.0
2026-03-10T05:00:00.000Z,255.0
2026-03-10T06:00:00.000Z,268.0
2026-03-10T07:00:00.000Z,275.0
2026-03-10T08:00:00.000Z,300.0
2026-03-10T09:00:00.000Z,296.0
2026-03-10T10:00:00.000Z,295.0
2026-03-10T11:00:00.000Z,303.0
2026-03-10T12:00:00.000Z,316.0
2026-03-10T13:00:00.000Z,312.0
2026-03-10T14:00:00.000Z,270.0
2026-03-10T15:00:00.000Z,245.0
2026-03-10T16:00:00.000Z,234.0
2026-03-10T17:00:00.000Z,214.0
2026-03-10T18:00:00.000Z,216.0
2026-03-10T19:00:00.000Z,210.0
2026-03-10T20:00:00.000Z,210.0
2026-03-10T21:00:00.000Z,249.0
2026-03-10T22:00:00.000Z,271.0
2026-03-10T23:00:00.000Z,292.0
2026-03-11T00:00:00.000Z,314.0
2026-03-11T01:00:00.000Z,329.0
2026-03-11T02:00:00.000Z,338.0
2026-03-11T03:00:00.000Z,341.0
2026-03-11T04:00:00.000Z,334.0
2026-03-11T05:00:00.000Z,321.0
2026-03-11T06:00:00.000Z,305.0
2026-03-11T07:00:00.000Z,292.0
2026-03-11T08:00:00.000Z,282.0
2026-03-11T09:00:00.000Z,279.0
2026-03-11T10:00:00.000Z,299.0
2026-03-11T11:00:00.000Z,302.0
2026-03-11T12:00:00.000Z,331.0
2026-03-11T13:00:00.000Z,325.0
2026-03-11T14:00:00.000Z,257.0
2026-03-11T15:00:00.000Z,257.0
2026-03-11T16:00:00.000Z,242.0
2026-03-11T17:00:00.000Z,221.0
2026-03-11T18:00:00.000Z,191.0
2026-03-11T19:00:00.000Z,177.0
2026-03-11T20:00:00.000Z,177.0
2026-03-11T21:00:00.000Z,182.0
2026-03-11T22:00:00.000Z,197.0
2026-03-11T23:00:00.000Z,233.0
2026-03-12T00:00:00.000Z,287.0
2026-03-12T01:00:00.000Z,291.0
2026-03-12T02:00:00.000Z,303.0
2026-03-12T03:00:00.000Z,297.0
2026-03-12T04:00:00.000Z,299.0
2026-03-12T05:00:00.000Z,298.0
2026-03-12T06:00:00.000Z,307.0
2026-03-12T07:00:00.000Z,298.0
2026-03-12T08:00:00.000Z,304.0
2026-03-12T09:00:00.000Z,319.0
2026-03-12T10:00:00.000Z,359.0
2026-03-12T11:00:00.000Z,370.0
2026-03-12T12:00:00.000Z,370.0
2026-03-12T13:00:00.000Z,296.0
2026-03-12T14:00:00.000Z,149.0
2026-03-12T15:00:00.000Z,122.0
2026-03-12T16:00:00.000Z,123.0
2026-03-12T17:00:00.000Z,122.0
2026-03-12T18:00:00.000Z,121.0
2026-03-12T19:00:00.000Z,121.0
2026-03-12T20:00:00.000Z,122.0
2026-03-12T21:00:00.000Z,126.0
2026-03-12T22:00:00.000Z,144.0
2026-03-12T23:00:00.000Z,206.0
2026-03-13T00:00:00.000Z,282.0
2026-03-13T01:00:00.000Z,282.0
2026-03-13T02:00:00.000Z,280.0
2026-03-13T03:00:00.000Z,263.0
2026-03-13T04:00:00.000Z,241.0
2026-03-13T05:00:00.000Z,230.0
2026-03-13T06:00:00.000Z,218.0
2026-03-13T07:00:00.000Z,214.0
2026-03-13T08:00:00.000Z,224.0
2026-03-13T09:00:00.000Z,233.0
2026-03-13T10:00:00.000Z,247.0
2026-03-13T11:00:00.000Z,263.0
2026-03-13T12:00:00.000Z,276.0
2026-03-13T13:00:00.000Z,223.0
2026-03-13T14:00:00.000Z,130.0
2026-03-13T15:00:00.000Z,113.0
2026-03-13T16:00:00.000Z,116.0
2026-03-13T17:00:00.000Z,120.0
2026-03-13T18:00:00.000Z,126.0
2026-03-13T19:00:00.000Z,132.0
2026-03-13T20:00:00.000Z,140.0
2026-03-13T21:00:00.000Z,148.0
2026-03-13T22:00:00.000Z,161.0
2026-03-13T23:00:00.000Z,259.0
2026-03-14T00:00:00.000Z,376.0
2026-03-14T01:00:00.000Z,363.0
2026-03-14T02:00:00.000Z,335.0
2026-03-14T03:00:00.000Z,315.0
2026-03-14T04:00:00.000Z,300.0
2026-03-14T05:00:00.000Z,287.0
2026-03-14T06:00:00.000Z,270.0
2026-03-14T07:00:00.000Z,270.0
2026-03-14T08:00:00.000Z,278.0
2026-03-14T09:00:00.000Z,279.0
2026-03-14T10:00:00.000Z,273.0
2026-03-14T11:00:00.000Z,290.0
2026-03-14T12:00:00.000Z,307.0
2026-03-14T13:00:00.000Z,245.0
2026-03-14T14:00:00.000Z,132.0
2026-03-14T15:00:00.000Z,108.0
2026-03-14T16:00:00.000Z,108.0
2026-03-14T17:00:00.000Z,109.0
2026-03-14T18:00:00.000Z,105.0
2026-03-14T19:00:00.000Z,104.0
2026-03-14T20:00:00.000Z,110.0
2026-03-14T21:00:00.000Z,124.0
2026-03-14T22:00:00.000Z,138.0
2026-03-14T23:00:00.000Z,208.0
2026-03-15T00:00:00.000Z,268.0
2026-03-15T01:00:00.000Z,268.0
2026-03-15T02:00:00.000Z,257.0
2026-03-15T03:00:00.000Z,245.0
2026-03-15T04:00:00.000Z,228.0
2026-03-15T05:00:00.000Z,223.0
2026-03-15T06:00:00.000Z,207.0
2026-03-15T07:00:00.000Z,210.0
2026-03-15T08:00:00.000Z,206.0
2026-03-15T09:00:00.000Z,204.0
2026-03-15T10:00:00.000Z,203.0
2026-03-15T11:00:00.000Z,210.0
2026-03-15T12:00:00.000Z,224.0
2026-03-15T13:00:00.000Z,213.0
2026-03-15T14:00:00.000Z,180.0
2026-03-15T15:00:00.000Z,159.0
2026-03-15T16:00:00.000Z,136.0
2026-03-15T17:00:00.000Z,130.0
2026-03-15T18:00:00.000Z,141.0
2026-03-15T19:00:00.000Z,148.0
2026-03-15T20:00:00.000Z,158.0
2026-03-15T21:00:00.000Z,168.0
2026-03-15T22:00:00.000Z,188.0
2026-03-15T23:00:00.000Z,244.0
