policy,policy_name,cluster_name,cluster_display_name,sector_slug,workload_name,completed,completion_slot,total_work,total_energy_kwh,total_carbon_grams,total_day_ahead_cost,total_real_time_cost,active_slots,max_scale_used,tie_threshold_ratio,tie_break_used_count,cost_budget_ratio,cost_penalty_beta,urgency_gamma,lambda_carbon,sweep_group,carbon_savings_vs_base_pct,day_ahead_cost_savings_vs_base_pct,real_time_cost_savings_vs_base_pct
optionB_budget0.90_beta0.01_gamma0.10,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,23.570000000000007,5.7024,114.31200000000003,86.84946599999999,269.06781000000007,14,2,,0,0.9,0.01,0.1,,optionB_gamma_sweep,3.959188200066542,10.130968698501546,4.2425391698695485
optionB_budget0.90_beta0.01_gamma0.25,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,23.570000000000007,5.7024,114.31200000000003,86.84946599999999,269.06781000000007,14,2,,0,0.9,0.01,0.25,,optionB_gamma_sweep,3.959188200066542,10.130968698501546,4.2425391698695485
optionB_budget0.90_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,23.570000000000007,5.7024,114.31200000000003,86.84946599999999,269.06781000000007,14,2,,0,0.9,0.01,0.5,,optionB_gamma_sweep,3.959188200066542,10.130968698501546,4.2425391698695485
optionB_budget0.90_beta0.01_gamma0.75,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,23.570000000000007,5.7024,114.31200000000003,86.84946599999999,269.06781000000007,14,2,,0,0.9,0.01,0.75,,optionB_gamma_sweep,3.959188200066542,10.130968698501546,4.2425391698695485
optionB_budget0.90_beta0.01_gamma1.00,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,23.570000000000007,5.7024,114.31200000000003,86.84946599999999,269.06781000000007,14,2,,0,0.9,0.01,1.0,,optionB_gamma_sweep,3.959188200066542,10.130968698501546,4.2425391698695485
optionC_lambda0.50,carbonscaler_weighted,cluster1,"Ontario, Canada",ontario,nbody100k,True,134,24.44000000000001,5.9268,161.89140000000006,45.341736000000004,43.20030550000001,14,2,,0,,,,0.5,,-36.01530442497507,53.08183136269047,84.62561700797312
optionC_lambda0.60,carbonscaler_weighted,cluster1,"Ontario, Canada",ontario,nbody100k,True,134,24.44000000000001,5.9268,143.08140000000006,55.350702,47.514852000000005,14,2,,0,,,,0.6,,-20.211822113785093,42.72487558417558,83.09013040527053
optionC_lambda0.70,carbonscaler_weighted,cluster1,"Ontario, Canada",ontario,nbody100k,True,135,24.31000000000001,5.9202,130.24440000000004,64.261494,169.54504050000003,13,2,,0,,,,0.7,,-9.426638571587011,33.50427490518992,39.661297371017255
optionC_lambda0.80,carbonscaler_weighted,cluster1,"Ontario, Canada",ontario,nbody100k,True,136,24.44000000000001,5.9268,124.54200000000003,73.22006999999999,261.609392,14,2,,0,,,,0.8,,-4.6356881446157265,24.234228881408345,6.8968855574576615
optionC_lambda0.90,carbonscaler_weighted,cluster1,"Ontario, Canada",ontario,nbody100k,True,137,24.31000000000001,5.9202,118.85940000000001,87.45046199999999,274.39747500000004,13,2,,0,,,,0.9,,0.13862703781747307,9.509077386745236,2.3457861265559883
