policy,policy_name,cluster_name,cluster_display_name,sector_slug,workload_name,completed,completion_slot,total_work,total_energy_kwh,total_carbon_grams,total_day_ahead_cost,total_real_time_cost,active_slots,max_scale_used,tie_threshold_ratio,tie_break_used_count,cost_budget_ratio,cost_penalty_beta,urgency_gamma,lambda_carbon,sweep_group,carbon_savings_vs_base_pct,day_ahead_cost_savings_vs_base_pct,real_time_cost_savings_vs_base_pct
carbonscaler_base,carbonscaler,cluster1,"Ontario, Canada",ontario,nbody100k,True,88,24.44000000000001,5.9268,131.78879999999998,178.515744,67.54340450000002,14,2,,0,,,,,,0.0,0.0,0.0
price_only,price_only,cluster1,"Ontario, Canada",ontario,nbody100k,True,167,24.44000000000001,5.9268,288.2814000000001,99.40227,80.8584535,14,2,,0,,,,,,-118.74499198717957,44.317365083496504,-19.713322268201583
optionA_tie_0.01,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",ontario,nbody100k,True,88,24.44000000000001,5.9268,131.78879999999998,178.515744,67.54340450000002,14,2,0.01,11,,,,,,0.0,0.0,0.0
optionA_tie_0.03,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",ontario,nbody100k,True,88,24.44000000000001,5.9268,131.78879999999998,178.515744,67.54340450000002,14,2,0.03,17,,,,,,0.0,0.0,0.0
optionA_tie_0.05,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",ontario,nbody100k,True,87,24.31000000000001,5.9202,131.1552,175.356324,67.46409450000002,13,2,0.05,20,,,,,,0.48076923076921024,1.769827091553343,0.11742079124839884
optionA_tie_0.10,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",ontario,nbody100k,True,87,24.31000000000001,5.9202,131.1552,175.356324,67.46409450000002,13,2,0.1,23,,,,,,0.48076923076921024,1.769827091553343,0.11742079124839884
optionA_tie_0.20,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",ontario,nbody100k,True,87,24.31000000000001,5.9202,131.1552,175.356324,67.46409450000002,13,2,0.2,24,,,,,,0.48076923076921024,1.769827091553343,0.11742079124839884
optionB_budget0.80_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,19.090000000000003,4.573799999999999,97.944,142.598412,59.55362050000001,13,2,,0,0.8,0.01,0.5,,optionB_budget_sweep,25.68108974358973,20.119980005797142,11.829110568449376
optionB_budget0.85_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,21.090000000000003,5.035799999999999,116.88600000000001,151.376412,61.988938000000005,15,2,,0,0.85,0.01,0.5,,optionB_budget_sweep,11.308092948717928,15.202766653455518,8.223551272130525
optionB_budget0.90_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,22.960000000000004,5.4912,135.70260000000002,160.49748,79.89149850000003,16,2,,0,0.9,0.01,0.5,,optionB_budget_sweep,-2.9697516025641315,10.09337529355395,-18.28171690694093
optionB_budget1.00_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,True,88,24.700000000000006,5.9399999999999995,139.0488,178.33662,82.60677700000002,16,2,,0,1.0,0.01,0.5,,optionB_budget_sweep,-5.508814102564118,0.1003407296109421,-22.301766710619386
optionB_budget1.10_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,True,89,24.700000000000006,5.9399999999999995,134.1978,183.94068000000001,82.78329950000003,16,2,,0,1.1,0.01,0.5,,optionB_budget_sweep,-1.827924679487195,-3.0389117948050575,-22.563113471723206
optionB_budget1.20_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,True,89,24.700000000000006,5.9399999999999995,134.1978,183.94068000000001,82.78329950000003,16,2,,0,1.2,0.01,0.5,,optionB_budget_sweep,-1.827924679487195,-3.0389117948050575,-22.563113471723206
