timestamp,carbon_intensity
2026-04-19T07:00:00.000Z,42.0
2026-04-19T08:00:00.000Z,43.0
2026-04-19T09:00:00.000Z,45.0
2026-04-19T10:00:00.000Z,54.0
2026-04-19T11:00:00.000Z,53.0
2026-04-19T12:00:00.000Z,61.0
2026-04-19T13:00:00.000Z,52.0
2026-04-19T14:00:00.000Z,47.0
2026-04-19T15:00:00.000Z,46.0
2026-04-19T16:00:00.000Z,49.0
2026-04-19T17:00:00.000Z,54.0
2026-04-19T18:00:00.000Z,50.0
2026-04-19T19:00:00.000Z,52.0
2026-04-19T20:00:00.000Z,58.0
2026-04-19T21:00:00.000Z,63.0
2026-04-19T22:00:00.000Z,77.0
2026-04-19T23:00:00.000Z,75.0
