policy,policy_name,cluster_name,cluster_display_name,sector_slug,workload_name,completed,completion_slot,total_work,total_energy_kwh,total_carbon_grams,total_day_ahead_cost,total_real_time_cost,active_slots,max_scale_used,tie_threshold_ratio,tie_break_used_count,cost_budget_ratio,cost_penalty_beta,urgency_gamma,lambda_carbon,sweep_group,carbon_savings_vs_base_pct,day_ahead_cost_savings_vs_base_pct,real_time_cost_savings_vs_base_pct
carbonscaler_base,carbonscaler,cluster1,"Ontario, Canada",ontario,nbody100k,True,31,24.090000000000003,5.7288,259.5912000000001,173.16406800000004,190.80112150000005,18,2,,0,,,,,,0.0,0.0,0.0
price_only,price_only,cluster1,"Ontario, Canada",ontario,nbody100k,True,62,24.44000000000001,5.9268,382.0212000000001,135.83156400000001,179.52721050000002,14,2,,0,,,,,,-47.16261568188751,21.559036139067846,5.90872365496029
optionA_tie_0.01,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",ontario,nbody100k,True,31,24.090000000000003,5.7288,259.5912000000001,173.16406800000004,190.80112150000005,18,2,0.01,15,,,,,,0.0,0.0,0.0
optionA_tie_0.03,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",ontario,nbody100k,True,31,24.830000000000005,5.946599999999999,269.1084000000001,176.12086800000003,197.78275550000004,17,2,0.03,22,,,,,,-3.6662259737618226,-1.7075135934089896,-3.6591158087086946
optionA_tie_0.05,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",ontario,nbody100k,True,31,24.830000000000005,5.946599999999999,269.3328000000001,171.40173600000003,197.14134550000006,17,2,0.05,23,,,,,,-3.7526695820197307,1.017723838643023,-3.322949021554889
optionA_tie_0.10,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",ontario,nbody100k,True,29,24.700000000000006,5.9399999999999995,269.247,167.08923,195.072955,16,2,0.1,24,,,,,,-3.719617614156389,3.5081400374586114,-2.238893286588966
optionA_tie_0.20,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",ontario,nbody100k,True,29,24.830000000000005,5.946599999999999,272.79780000000005,160.627896,195.57401050000004,17,2,0.2,25,,,,,,-5.0874605918844615,7.239476494627077,-2.5014994474233165
optionB_budget0.80_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,19.48,4.5935999999999995,205.49100000000004,135.52981200000002,151.60590500000004,16,2,,0,0.8,0.01,0.5,,optionB_budget_sweep,20.840536967354833,21.733293999538063,20.542445553707086
optionB_budget0.85_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,22.090000000000003,5.266799999999999,236.4582000000001,145.513368,173.88901200000004,16,2,,0,0.85,0.01,0.5,,optionB_budget_sweep,8.911319027763644,15.967920088363842,8.863736946116436
optionB_budget0.90_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,22.220000000000002,5.2734,238.3656000000001,155.84632800000003,176.00024750000003,17,2,,0,0.9,0.01,0.5,,optionB_budget_sweep,8.176548357571436,10.000769905682748,7.757225892406517
optionB_budget1.00_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,True,31,24.220000000000002,5.735399999999999,262.65360000000004,172.51865400000003,191.83646900000002,19,2,,0,1.0,0.01,0.5,,optionB_budget_sweep,-1.1797010068137777,0.37271820156131724,-0.5426317685454336
optionB_budget1.10_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,True,31,24.220000000000002,5.735399999999999,262.65360000000004,172.51865400000003,191.83646900000002,19,2,,0,1.1,0.01,0.5,,optionB_budget_sweep,-1.1797010068137777,0.37271820156131724,-0.5426317685454336
optionB_budget1.20_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,True,31,24.220000000000002,5.735399999999999,262.65360000000004,172.51865400000003,191.83646900000002,19,2,,0,1.2,0.01,0.5,,optionB_budget_sweep,-1.1797010068137777,0.37271820156131724,-0.5426317685454336
optionB_budget0.90_beta0.0025_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,22.220000000000002,5.2734,238.3656000000001,155.84632800000003,176.00024750000003,17,2,,0,0.9,0.0025,0.5,,optionB_beta_sweep,8.176548357571436,10.000769905682748,7.757225892406517
optionB_budget0.90_beta0.0050_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,22.220000000000002,5.2734,238.3656000000001,155.84632800000003,176.00024750000003,17,2,,0,0.9,0.005,0.5,,optionB_beta_sweep,8.176548357571436,10.000769905682748,7.757225892406517
optionB_budget0.90_beta0.0100_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,22.220000000000002,5.2734,238.3656000000001,155.84632800000003,176.00024750000003,17,2,,0,0.9,0.01,0.5,,optionB_beta_sweep,8.176548357571436,10.000769905682748,7.757225892406517
optionB_budget0.90_beta0.0200_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,23.090000000000003,5.497799999999999,248.93220000000008,153.866328,183.41237200000003,17,2,,0,0.9,0.02,0.5,,optionB_beta_sweep,4.1060713922505805,11.144194186983427,3.872487458099147
optionB_budget0.90_beta0.0400_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,23.960000000000004,5.722199999999999,261.5382000000001,153.650772,192.67292550000005,17,2,,0,0.9,0.04,0.5,,optionB_beta_sweep,-0.7500254245906649,11.268674977074372,-0.9810235837633674
optionB_budget0.90_beta0.01_gamma0.10,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,22.220000000000002,5.2734,238.3656000000001,155.84632800000003,176.00024750000003,17,2,,0,0.9,0.01,0.1,,optionB_gamma_sweep,8.176548357571436,10.000769905682748,7.757225892406517
optionB_budget0.90_beta0.01_gamma0.25,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,22.220000000000002,5.2734,238.3656000000001,155.84632800000003,176.00024750000003,17,2,,0,0.9,0.01,0.25,,optionB_gamma_sweep,8.176548357571436,10.000769905682748,7.757225892406517
optionB_budget0.90_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,22.220000000000002,5.2734,238.3656000000001,155.84632800000003,176.00024750000003,17,2,,0,0.9,0.01,0.5,,optionB_gamma_sweep,8.176548357571436,10.000769905682748,7.757225892406517
optionB_budget0.90_beta0.01_gamma0.75,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,22.220000000000002,5.2734,238.3656000000001,155.84632800000003,176.00024750000003,17,2,,0,0.9,0.01,0.75,,optionB_gamma_sweep,8.176548357571436,10.000769905682748,7.757225892406517
optionB_budget0.90_beta0.01_gamma1.00,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,22.220000000000002,5.2734,238.3656000000001,155.84632800000003,176.00024750000003,17,2,,0,0.9,0.01,1.0,,optionB_gamma_sweep,8.176548357571436,10.000769905682748,7.757225892406517
optionC_lambda0.50,carbonscaler_weighted,cluster1,"Ontario, Canada",ontario,nbody100k,True,29,24.700000000000006,5.9399999999999995,293.51520000000005,145.26996000000003,177.29492000000008,16,2,,0,,,,0.5,,-13.068239601342407,16.108485046678396,7.078680352515628
optionC_lambda0.60,carbonscaler_weighted,cluster1,"Ontario, Canada",ontario,nbody100k,True,29,24.830000000000005,5.946599999999999,278.44740000000013,154.52685600000004,190.446377,17,2,,0,,,,0.6,,-7.263805552730622,10.762747846741508,0.1859236975187475
optionC_lambda0.70,carbonscaler_weighted,cluster1,"Ontario, Canada",ontario,nbody100k,True,29,24.700000000000006,5.9399999999999995,271.54380000000003,158.730924,189.78672350000005,16,2,,0,,,,0.7,,-4.604393369266739,8.33495318439854,0.5316520112802375
optionC_lambda0.80,carbonscaler_weighted,cluster1,"Ontario, Canada",ontario,nbody100k,True,29,24.570000000000007,5.9334,268.21740000000005,160.36317000000005,194.85770700000003,15,2,,0,,,,0.8,,-3.3229939997965956,7.39235232103694,-2.126080532498328
optionC_lambda0.90,carbonscaler_weighted,cluster1,"Ontario, Canada",ontario,nbody100k,True,29,24.570000000000007,5.9334,268.21740000000005,160.36317000000005,194.85770700000003,15,2,,0,,,,0.9,,-3.3229939997965956,7.39235232103694,-2.126080532498328
