timestamp,carbon_intensity
2026-04-15T19:00:00.000Z,92.0
2026-04-15T20:00:00.000Z,96.0
2026-04-15T21:00:00.000Z,98.0
2026-04-15T22:00:00.000Z,100.0
2026-04-15T23:00:00.000Z,98.0
2026-04-16T00:00:00.000Z,98.0
2026-04-16T01:00:00.000Z,96.0
2026-04-16T02:00:00.000Z,93.0
2026-04-16T03:00:00.000Z,86.0
2026-04-16T04:00:00.000Z,79.0
2026-04-16T05:00:00.000Z,67.0
2026-04-16T06:00:00.000Z,62.0
2026-04-16T07:00:00.000Z,60.0
2026-04-16T08:00:00.000Z,63.0
2026-04-16T09:00:00.000Z,62.0
2026-04-16T10:00:00.000Z,70.0
2026-04-16T11:00:00.000Z,75.0
2026-04-16T12:00:00.000Z,73.0
2026-04-16T13:00:00.000Z,75.0
2026-04-16T14:00:00.000Z,81.0
2026-04-16T15:00:00.000Z,85.0
2026-04-16T16:00:00.000Z,85.0
2026-04-16T17:00:00.000Z,91.0
2026-04-16T18:00:00.000Z,95.0
2026-04-16T19:00:00.000Z,92.0
