policy,policy_name,cluster_name,cluster_display_name,sector_slug,workload_name,completed,completion_slot,total_work,total_energy_kwh,total_carbon_grams,total_day_ahead_cost,total_real_time_cost,active_slots,max_scale_used,tie_threshold_ratio,tie_break_used_count,cost_budget_ratio,cost_penalty_beta,urgency_gamma,lambda_carbon,sweep_group,carbon_savings_vs_base_pct,day_ahead_cost_savings_vs_base_pct,real_time_cost_savings_vs_base_pct
carbonscaler_base,carbonscaler,cluster1,"Ontario, Canada",ontario,nbody100k,True,164,24.830000000000005,5.9466,322.81919999999997,260.87523,256.122614,17,2,,0,,,,,,0.0,0.0,0.0
price_only,price_only,cluster1,"Ontario, Canada",ontario,nbody100k,True,159,24.44000000000001,5.9268,536.9760000000001,146.232636,103.57719900000001,14,2,,0,,,,,,-66.33954857703637,43.945373426216044,59.55952604794202
optionA_tie_0.01,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",ontario,nbody100k,True,164,24.700000000000006,5.94,321.07019999999994,250.005888,234.548248,16,2,0.01,16,,,,,,0.5417893359502854,4.166490624656081,8.423452214180509
optionA_tie_0.03,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",ontario,nbody100k,True,164,24.830000000000005,5.9466,323.04359999999997,246.188514,235.35062100000005,17,2,0.03,23,,,,,,-0.06951259404645165,5.629785549206796,8.110175308455954
optionA_tie_0.05,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",ontario,nbody100k,True,164,24.090000000000007,5.7288,313.1238,240.74252399999997,239.2348145,18,2,0.05,23,,,,,,3.0033529604186957,7.717369717316593,6.593638584369595
optionA_tie_0.10,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",ontario,nbody100k,True,164,24.830000000000005,5.9466,324.2052,252.31668,251.06140400000004,17,2,0.1,26,,,,,,-0.42934249263985047,3.2807062594635745,1.976088686959895
optionA_tie_0.20,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",ontario,nbody100k,True,164,24.830000000000005,5.9466,330.83820000000003,229.472034,236.7334805,17,2,0.2,26,,,,,,-2.4840529931305397,12.037630402855795,7.570254417284678
optionB_budget0.80_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,21.740000000000002,5.0687999999999995,283.42379999999997,207.99174,205.44525100000007,20,2,,0,0.8,0.01,0.5,,optionB_budget_sweep,12.20354923127249,20.271564302981158,19.78636802449624
optionB_budget0.85_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,23.740000000000002,5.530799999999999,313.91580000000005,221.14950000000002,210.81715600000007,22,2,,0,0.85,0.01,0.5,,optionB_budget_sweep,2.758014393195919,15.22786582689356,17.688972204539475
optionB_budget0.90_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,True,164,24.740000000000002,5.761799999999999,329.175,229.505364,213.18462000000005,23,2,,0,0.9,0.01,0.5,,optionB_budget_sweep,-1.9688420019627226,12.024854180291475,16.764624306075504
optionB_budget1.00_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,True,164,24.740000000000002,5.761799999999999,329.175,229.505364,213.18462000000005,23,2,,0,1.0,0.01,0.5,,optionB_budget_sweep,-1.9688420019627226,12.024854180291475,16.764624306075504
optionB_budget1.10_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,True,164,24.740000000000002,5.761799999999999,329.175,229.505364,213.18462000000005,23,2,,0,1.1,0.01,0.5,,optionB_budget_sweep,-1.9688420019627226,12.024854180291475,16.764624306075504
optionB_budget1.20_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,True,164,24.740000000000002,5.761799999999999,329.175,229.505364,213.18462000000005,23,2,,0,1.2,0.01,0.5,,optionB_budget_sweep,-1.9688420019627226,12.024854180291475,16.764624306075504
optionB_budget0.90_beta0.0025_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,True,164,24.610000000000003,5.755199999999999,325.3602,233.807904,220.01194600000005,22,2,,0,0.9,0.0025,0.5,,optionB_beta_sweep,-0.7871279031730621,10.375582994215273,14.098976828340486
optionB_budget0.90_beta0.0050_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,True,164,24.610000000000003,5.755199999999999,325.3602,233.807904,220.01194600000005,22,2,,0,0.9,0.005,0.5,,optionB_beta_sweep,-0.7871279031730621,10.375582994215273,14.098976828340486
optionB_budget0.90_beta0.0100_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,True,164,24.740000000000002,5.761799999999999,329.175,229.505364,213.18462000000005,23,2,,0,0.9,0.01,0.5,,optionB_beta_sweep,-1.9688420019627226,12.024854180291475,16.764624306075504
optionB_budget0.90_beta0.0200_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,True,164,24.740000000000002,5.761799999999999,329.175,229.505364,213.18462000000005,23,2,,0,0.9,0.02,0.5,,optionB_beta_sweep,-1.9688420019627226,12.024854180291475,16.764624306075504
