policy,policy_name,cluster_name,cluster_display_name,sector_slug,workload_name,completed,completion_slot,total_work,total_energy_kwh,total_carbon_grams,total_day_ahead_cost,total_real_time_cost,active_slots,max_scale_used,tie_threshold_ratio,tie_break_used_count,cost_budget_ratio,cost_penalty_beta,urgency_gamma,lambda_carbon,sweep_group,carbon_savings_vs_base_pct,day_ahead_cost_savings_vs_base_pct,real_time_cost_savings_vs_base_pct
carbonscaler_base,carbonscaler,cluster1,"Ontario, Canada",ontario,nbody100k,True,167,24.700000000000006,5.9399999999999995,139.8672,156.946086,399.4860595,16,2,,0,,,,,,0.0,0.0,0.0
price_only,price_only,cluster1,"Ontario, Canada",ontario,nbody100k,True,158,24.700000000000006,5.94,280.33500000000004,64.987296,189.53022550000003,16,2,,0,,,,,,-100.42940732351835,58.59259847996464,52.55648576643261
optionA_tie_0.01,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",ontario,nbody100k,True,167,24.700000000000006,5.9399999999999995,139.8672,156.946086,399.4860595,16,2,0.01,18,,,,,,0.0,0.0,0.0
optionA_tie_0.03,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",ontario,nbody100k,True,167,24.700000000000006,5.9399999999999995,139.8672,156.946086,399.4860595,16,2,0.03,21,,,,,,0.0,0.0,0.0
optionA_tie_0.05,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",ontario,nbody100k,True,167,24.700000000000006,5.9399999999999995,139.8672,156.946086,399.4860595,16,2,0.05,23,,,,,,0.0,0.0,0.0
optionA_tie_0.10,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",ontario,nbody100k,True,167,24.700000000000006,5.9399999999999995,139.8672,156.946086,399.4860595,16,2,0.1,24,,,,,,0.0,0.0,0.0
optionA_tie_0.20,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",ontario,nbody100k,True,167,24.830000000000005,5.946599999999999,141.39839999999998,147.525576,372.872137,17,2,0.2,25,,,,,,-1.0947527368818308,6.002386067786365,6.662040355878801
optionB_budget0.80_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,True,167,24.35,5.741999999999998,140.1708,125.33419800000001,301.09478850000005,20,2,,0,0.8,0.01,0.5,,optionB_budget_sweep,-0.21706304265761894,20.14187725586224,24.629462946253312
optionB_budget0.85_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,True,167,24.35,5.741999999999998,140.1708,125.33419800000001,301.09478850000005,20,2,,0,0.85,0.01,0.5,,optionB_budget_sweep,-0.21706304265761894,20.14187725586224,24.629462946253312
optionB_budget0.90_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,True,167,24.35,5.741999999999998,140.1708,125.33419800000001,301.09478850000005,20,2,,0,0.9,0.01,0.5,,optionB_budget_sweep,-0.21706304265761894,20.14187725586224,24.629462946253312
optionB_budget1.00_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,True,167,24.35,5.741999999999998,140.1708,125.33419800000001,301.09478850000005,20,2,,0,1.0,0.01,0.5,,optionB_budget_sweep,-0.21706304265761894,20.14187725586224,24.629462946253312
optionB_budget1.10_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,True,167,24.35,5.741999999999998,140.1708,125.33419800000001,301.09478850000005,20,2,,0,1.1,0.01,0.5,,optionB_budget_sweep,-0.21706304265761894,20.14187725586224,24.629462946253312
