policy,policy_name,cluster_name,cluster_display_name,sector_slug,workload_name,completed,completion_slot,total_work,total_energy_kwh,total_carbon_grams,total_day_ahead_cost,total_real_time_cost,active_slots,max_scale_used,tie_threshold_ratio,tie_break_used_count,cost_budget_ratio,cost_penalty_beta,urgency_gamma,lambda_carbon,sweep_group,carbon_savings_vs_base_pct,day_ahead_cost_savings_vs_base_pct,real_time_cost_savings_vs_base_pct
carbonscaler_base,carbonscaler,cluster4,"Texas, US",texas,nbody100k,True,141,24.090000000000007,5.914068900000001,676.1544909000002,423.98396509653,510.73837850964003,18,2,,0,,,,,,0.0,0.0,0.0
price_only,price_only,cluster4,"Texas, US",texas,nbody100k,True,123,24.570000000000007,6.125113200000001,2006.1753276,75.01514180241001,81.49767913494001,15,2,,0,,,,,,-196.70369044353552,82.30708046108984,84.04316523603448
optionA_tie_0.01,carbonscaler_price_tiebreak,cluster4,"Texas, US",texas,nbody100k,True,141,24.090000000000007,5.914068900000001,676.1544909000002,423.98396509653,510.73837850964003,18,2,0.01,18,,,,,,0.0,0.0,0.0
optionA_tie_0.03,carbonscaler_price_tiebreak,cluster4,"Texas, US",texas,nbody100k,True,141,24.960000000000008,6.145692600000001,703.0228401000002,436.81337021583005,517.3655958140399,18,2,0.03,21,,,,,,-3.973699733064955,-3.025917528833691,-1.29757574195588
optionA_tie_0.05,carbonscaler_price_tiebreak,cluster4,"Texas, US",texas,nbody100k,True,161,24.090000000000007,5.914068900000001,678.0623589,416.0801687878801,427.52189832294005,18,2,0.05,23,,,,,,-0.28216450909915763,1.8641734026074412,16.293367345827782
optionA_tie_0.10,carbonscaler_price_tiebreak,cluster4,"Texas, US",texas,nbody100k,True,161,24.090000000000003,5.914068900000001,682.9950546000001,386.67063452667,470.32754131812004,18,2,0.1,24,,,,,,-1.011686499470673,8.80064663798423,7.91223822056232
optionA_tie_0.20,carbonscaler_price_tiebreak,cluster4,"Texas, US",texas,nbody100k,True,161,24.220000000000006,5.920928700000001,691.5784293,381.4748232978,454.43062322682005,19,2,0.2,25,,,,,,-2.2811263709081846,10.02612015976873,11.024774650209137
optionB_budget0.80_beta0.01_gamma0.50,carbonscaler_budget,cluster4,"Texas, US",texas,nbody100k,False,,22.87,5.478260700000001,655.8042171000001,338.50402908804006,419.77356383463007,22,2,,0,0.8,0.01,0.5,,optionB_budget_sweep,3.009707703473611,20.161124722966452,17.810452181104896
optionB_budget0.85_beta0.01_gamma0.50,carbonscaler_budget,cluster4,"Texas, US",texas,nbody100k,False,,23.87,5.716744200000001,686.0916216,360.21468453909006,434.61870859098013,23,2,,0,0.85,0.01,0.5,,optionB_budget_sweep,-1.4696538784757625,15.040493463690632,14.903847668698967
optionB_budget0.90_beta0.01_gamma0.50,carbonscaler_budget,cluster4,"Texas, US",texas,nbody100k,True,161,24.87,5.955227700000001,716.1405426,376.94594760024,451.0086540669301,24,2,,0,0.9,0.01,0.5,,optionB_budget_sweep,-5.913744896787735,11.094291616802229,11.694778962372917
