policy,policy_name,cluster_name,cluster_display_name,sector_slug,workload_name,completed,completion_slot,total_work,total_energy_kwh,total_carbon_grams,total_day_ahead_cost,total_real_time_cost,active_slots,max_scale_used,tie_threshold_ratio,tie_break_used_count,cost_budget_ratio,cost_penalty_beta,urgency_gamma,lambda_carbon,sweep_group,carbon_savings_vs_base_pct,day_ahead_cost_savings_vs_base_pct,real_time_cost_savings_vs_base_pct
carbonscaler_base,carbonscaler,cluster4,"Texas, US",texas,nbody100k,True,165,24.090000000000003,5.914068900000001,1118.2460679,374.58094779630005,528.79866299901,18,2,,0,,,,,,0.0,0.0,0.0
price_only,price_only,cluster4,"Texas, US",texas,nbody100k,True,130,24.31000000000001,6.111393600000001,1869.1462272,23.605116747840004,52.31498654832,13,2,,0,,,,,,-67.14981441518916,93.69826017935205,90.10682321857195
optionA_tie_0.01,carbonscaler_price_tiebreak,cluster4,"Texas, US",texas,nbody100k,True,165,24.090000000000003,5.914068900000001,1118.7230349,353.54477137995,452.55121919436,18,2,0.01,16,,,,,,-0.04265313455521889,5.615922683763848,14.418993303088742
optionA_tie_0.03,carbonscaler_price_tiebreak,cluster4,"Texas, US",texas,nbody100k,True,165,24.960000000000004,6.145692600000001,1163.6717523,356.02146138855,456.30323338107,18,2,0.03,22,,,,,,-4.062226168638058,4.95473315365811,13.709457812694158
optionA_tie_0.05,carbonscaler_price_tiebreak,cluster4,"Texas, US",texas,nbody100k,True,165,24.960000000000004,6.145692600000001,1165.3411368,355.638146859,457.97004225927,18,2,0.05,23,,,,,,-4.211512139581375,5.057064714247366,13.39425110079612
optionA_tie_0.10,carbonscaler_price_tiebreak,cluster4,"Texas, US",texas,nbody100k,True,165,24.830000000000005,6.138832800000001,1173.9511848,300.14163985362006,384.3189163589099,17,2,0.1,26,,,,,,-4.9814721910545865,19.87268930270331,27.32226020026276
optionA_tie_0.20,carbonscaler_price_tiebreak,cluster4,"Texas, US",texas,nbody100k,True,166,24.090000000000003,5.914068900000001,1155.9865896000001,260.7260306268,348.21536154674993,18,2,0.2,25,,,,,,-3.374974684317425,30.395277132838903,34.14972731362564
optionB_budget0.80_beta0.01_gamma0.50,carbonscaler_budget,cluster4,"Texas, US",texas,nbody100k,True,166,24.610000000000003,5.941508100000001,1173.6286188,297.62102714502,331.71456165174004,22,2,,0,0.8,0.01,0.5,,optionB_budget_sweep,-4.952626482649297,20.545604656094643,37.2701587839754
optionB_budget0.85_beta0.01_gamma0.50,carbonscaler_budget,cluster4,"Texas, US",texas,nbody100k,True,166,24.610000000000003,5.941508100000001,1170.0513663,303.55580828427003,335.78349558368996,22,2,,0,0.85,0.01,0.5,,optionB_budget_sweep,-4.632727973485044,18.961225852483565,36.50069126889631
optionB_budget0.90_beta0.01_gamma0.50,carbonscaler_budget,cluster4,"Texas, US",texas,nbody100k,True,166,24.610000000000003,5.941508100000001,1170.0513663,303.55580828427003,335.78349558368996,22,2,,0,0.9,0.01,0.5,,optionB_budget_sweep,-4.632727973485044,18.961225852483565,36.50069126889631
optionB_budget1.00_beta0.01_gamma0.50,carbonscaler_budget,cluster4,"Texas, US",texas,nbody100k,True,166,24.610000000000003,5.941508100000001,1170.0513663,303.55580828427003,335.78349558368996,22,2,,0,1.0,0.01,0.5,,optionB_budget_sweep,-4.632727973485044,18.961225852483565,36.50069126889631
optionB_budget1.10_beta0.01_gamma0.50,carbonscaler_budget,cluster4,"Texas, US",texas,nbody100k,True,166,24.610000000000003,5.941508100000001,1170.0513663,303.55580828427003,335.78349558368996,22,2,,0,1.1,0.01,0.5,,optionB_budget_sweep,-4.632727973485044,18.961225852483565,36.50069126889631
optionB_budget1.20_beta0.01_gamma0.50,carbonscaler_budget,cluster4,"Texas, US",texas,nbody100k,True,166,24.610000000000003,5.941508100000001,1170.0513663,303.55580828427003,335.78349558368996,22,2,,0,1.2,0.01,0.5,,optionB_budget_sweep,-4.632727973485044,18.961225852483565,36.50069126889631
optionB_budget0.90_beta0.0025_gamma0.50,carbonscaler_budget,cluster4,"Texas, US",texas,nbody100k,True,165,24.740000000000002,5.948367900000001,1178.6311002,335.56133266233,366.27242763107995,23,2,,0,0.9,0.0025,0.5,,optionB_beta_sweep,-5.399977163648734,10.416871270022307,30.734993626153393
optionB_budget0.90_beta0.0050_gamma0.50,carbonscaler_budget,cluster4,"Texas, US",texas,nbody100k,True,165,24.740000000000002,5.948367900000001,1178.6311002,335.56133266233,366.27242763107995,23,2,,0,0.9,0.005,0.5,,optionB_beta_sweep,-5.399977163648734,10.416871270022307,30.734993626153393
optionB_budget0.90_beta0.0100_gamma0.50,carbonscaler_budget,cluster4,"Texas, US",texas,nbody100k,True,166,24.610000000000003,5.941508100000001,1170.0513663,303.55580828427003,335.78349558368996,22,2,,0,0.9,0.01,0.5,,optionB_beta_sweep,-4.632727973485044,18.961225852483565,36.50069126889631
optionB_budget0.90_beta0.0200_gamma0.50,carbonscaler_budget,cluster4,"Texas, US",texas,nbody100k,True,166,24.610000000000003,5.941508100000001,1231.4497731,221.48848905408,265.55178418599,22,2,,0,0.9,0.02,0.5,,optionB_beta_sweep,-10.123326917892918,40.87032713299473,49.78206210281452
